,doi,title,authors,author_corresponding,author_corresponding_institution,relevance,date,category,abstract,url,combined,n_tokens
457,10.1101/2022.11.23.517630,Enzymatic assembly of small synthetic genes with repetitive elements,"Nguyen, M. T. A.; Gobry, M. V.; Vallina, N. S.; Pothoulakis, G.; Andersen, E. S.",Michael T.A. Nguyen,Aarhus University,2 Probably Irrelevant,2022-11-23,synthetic biology,"Although gene synthesis efficiency has improved through the years, current methods offered by DNA synthesis vendors are limited when it comes to repetitive sequences. Here, we describe a method for the enzymatic assembly of repetitive small synthetic genes. The method involves an initial step where the gene of interest is split in silico into small synthons of up to 80 base pairs flanked by Golden Gate-compatible four-base pair overhangs. Synthons are enzymatically synthesized by oligo extension and then assembled into the synthetic gene by Golden Gate Assembly. We construct eight different synthetic genes ranging from 133 to 456 base pairs encoding RNA structures with repetitive elements that are challenging to synthesize. We report assembly fidelities of up to 87.5 % that decrease for increasing number of synthons. This method is envisioned as an important addition to the molecular cloning toolbox and especially useful for construction of challenging and repetitive genes.",https://www.biorxiv.org/content/early/2022/11/23/2022.11.23.517630,"Title: Enzymatic assembly of small synthetic genes with repetitive elements; Authors: Nguyen, M. T. A.; Gobry, M. V.; Vallina, N. S.; Pothoulakis, G.; Andersen, E. S.; Corresponding Author: Michael T.A. Nguyen; Author Institution: Aarhus University; Category: synthetic biology; Abstract: Although gene synthesis efficiency has improved through the years, current methods offered by DNA synthesis vendors are limited when it comes to repetitive sequences. Here, we describe a method for the enzymatic assembly of repetitive small synthetic genes. The method involves an initial step where the gene of interest is split in silico into small synthons of up to 80 base pairs flanked by Golden Gate-compatible four-base pair overhangs. Synthons are enzymatically synthesized by oligo extension and then assembled into the synthetic gene by Golden Gate Assembly. We construct eight different synthetic genes ranging from 133 to 456 base pairs encoding RNA structures with repetitive elements that are challenging to synthesize. We report assembly fidelities of up to 87.5 % that decrease for increasing number of synthons. This method is envisioned as an important addition to the molecular cloning toolbox and especially useful for construction of challenging and repetitive genes.",257
463,10.1101/2022.11.23.517703,Accuracy and completeness of long read metagenomic assemblies,"Buttler, J.; Drown, D. M.",Devin M Drown,University of Alaska Fairbanks,2 Probably Irrelevant,2022-11-23,bioinformatics,"Microbes, we can learn how microbes influence the surrounding environment, contribute to human health, and understand which pathogen interactions result in differences in disease severity. Metagenomics can be used as a tool to explore the interactions between microbes. Metagenomic assemblies built using long read nanopore data depend on the read level accuracy. The read level accuracy of nanopore sequencing has made dramatic improvements over the past several years. However, we do not know if the increased read level accuracy allows for faster assemblers to make as accurate metagenomic assemblies as slower assemblers. Here, we present the results of a benchmarking study comparing three commonly used long read assemblers, Flye, Raven, and Redbean. We used a prepared DNA standard of seven bacteria as our input community. We prepared a sequencing library on the VolTRAX V2 sequence using a MinION mk1b. We basecalled using the latest version of Guppy with the super-accuracy model. We found that increasing read depth benefited each of the assemblers, and nearly complete community member chromosomes were assembled with as little as 10x read depth. Polishing assemblies using Medaka had a predictable improvement in quality. Some assemblers struggled with particular members of the bacterial community, but we found Flye to be the most robust across taxa. We found Flye was the most effective assembler for recovering plasmids. Based on Flyes consistency for chromosomes and increased effectiveness at assembling plasmids, we would recommend using Flye in future metagenomic studies.",https://www.biorxiv.org/content/early/2022/11/23/2022.11.23.517703,"Title: Accuracy and completeness of long read metagenomic assemblies; Authors: Buttler, J.; Drown, D. M.; Corresponding Author: Devin M Drown; Author Institution: University of Alaska Fairbanks; Category: bioinformatics; Abstract: Microbes, we can learn how microbes influence the surrounding environment, contribute to human health, and understand which pathogen interactions result in differences in disease severity. Metagenomics can be used as a tool to explore the interactions between microbes. Metagenomic assemblies built using long read nanopore data depend on the read level accuracy. The read level accuracy of nanopore sequencing has made dramatic improvements over the past several years. However, we do not know if the increased read level accuracy allows for faster assemblers to make as accurate metagenomic assemblies as slower assemblers. Here, we present the results of a benchmarking study comparing three commonly used long read assemblers, Flye, Raven, and Redbean. We used a prepared DNA standard of seven bacteria as our input community. We prepared a sequencing library on the VolTRAX V2 sequence using a MinION mk1b. We basecalled using the latest version of Guppy with the super-accuracy model. We found that increasing read depth benefited each of the assemblers, and nearly complete community member chromosomes were assembled with as little as 10x read depth. Polishing assemblies using Medaka had a predictable improvement in quality. Some assemblers struggled with particular members of the bacterial community, but we found Flye to be the most robust across taxa. We found Flye was the most effective assembler for recovering plasmids. Based on Flyes consistency for chromosomes and increased effectiveness at assembling plasmids, we would recommend using Flye in future metagenomic studies.",364
479,10.1101/2022.11.22.517559,Quantitative assessment of association between noncoding variants and transcription factor binding,"Ouyang, N.; Boyle, A. P.",Alan P Boyle,University of Michigan,3 Possibly Relevant,2022-11-23,bioinformatics,"Association fine-mapping of molecular traits is an essential method for understanding the impact of genetic variation. Sequencing-based assays, including RNA-seq, DNase-seq and ChIP-seq, have been widely used to measure different cellular traits and enabled genome-wide mapping of quantitative trait loci (QTLs). The disruption of cis-regulatory sequence, often occurring through variation within transcription factor binding motifs, has been strongly associated with gene dysregulation and human disease. We recently developed a computational method, TRACE, for transcription factor binding footprint prediction. TRACE integrates chromatin accessibility and transcription factor binding motifs to produce quantitative scores that describe the binding affinity of a TF for a specific TFBS locus. Here we have extended this method to incorporate variant data for 57 Yoruban individuals. Using genome-wide chromatin-accessibility data and human TF binding motifs, we have generated precise, genome-wide predictions of individual-specific transcription factor binding footprints. Subsequent association mapping between these footprints and nearby regulatory variants yielded numerous footprint-variant pairs with significant evidence for correlation, which we call footprint-QTLs (fpQTLs). fpQTLs appear to affect TF binding in a distance-dependent manner and share significant overlap with known dsQTLs and eQTLs. fpQTLs provide a rich resource for the study of regulatory variants, both within and outside known TFBSs, leading to improved functional interpretation of noncoding variation.",https://www.biorxiv.org/content/early/2022/11/23/2022.11.22.517559,"Title: Quantitative assessment of association between noncoding variants and transcription factor binding; Authors: Ouyang, N.; Boyle, A. P.; Corresponding Author: Alan P Boyle; Author Institution: University of Michigan; Category: bioinformatics; Abstract: Association fine-mapping of molecular traits is an essential method for understanding the impact of genetic variation. Sequencing-based assays, including RNA-seq, DNase-seq and ChIP-seq, have been widely used to measure different cellular traits and enabled genome-wide mapping of quantitative trait loci (QTLs). The disruption of cis-regulatory sequence, often occurring through variation within transcription factor binding motifs, has been strongly associated with gene dysregulation and human disease. We recently developed a computational method, TRACE, for transcription factor binding footprint prediction. TRACE integrates chromatin accessibility and transcription factor binding motifs to produce quantitative scores that describe the binding affinity of a TF for a specific TFBS locus. Here we have extended this method to incorporate variant data for 57 Yoruban individuals. Using genome-wide chromatin-accessibility data and human TF binding motifs, we have generated precise, genome-wide predictions of individual-specific transcription factor binding footprints. Subsequent association mapping between these footprints and nearby regulatory variants yielded numerous footprint-variant pairs with significant evidence for correlation, which we call footprint-QTLs (fpQTLs). fpQTLs appear to affect TF binding in a distance-dependent manner and share significant overlap with known dsQTLs and eQTLs. fpQTLs provide a rich resource for the study of regulatory variants, both within and outside known TFBSs, leading to improved functional interpretation of noncoding variation.",342
483,10.1101/2022.11.21.517450,A tRNA Modification-based strategy for Identifying amiNo acid Overproducers (AMINO),"Guo, H.; Ma, X.; Wang, N.; Ding, T.; Zheng, B.; Guo, L.; Huang, C.; Zhang, W.; Sun, L.; huo, y.",yixin huo,Beijing Institute of Technology,3 Possibly Relevant,2022-11-22,synthetic biology,"Amino acids have a multi-billion-dollar market with rising demand, prompting the development of high-performance microbial factories. However, a general screening strategy applicable to all proteinogenic and non-proteinogenic amino acids is still lacking. Modification of the critical structure of tRNA could decrease the aminoacylation level of tRNA catalyzed by aminoacyl-tRNA synthetases. Involved in a two-substrate sequential reaction, amino acids with increased concentration could elevate the reduced aminoacylation rate caused by specific tRNA modification. Here, we developed a selection system for overproducers of specific amino acids using corresponding engineered tRNAs and reporter genes. As a proof-of-concept, overproducers of five amino acids such as L-tryptophan were screened out by growth-based and/or fluorescence-activated cell sorting (FACS)-based screening from random mutation libraries of Escherichia coli and Corynebacterium glutamicum, respectively. This study provided a universal strategy that could be applied to screen overproducers of proteinogenic and non-proteinogenic amino acids in amber-stop-codon-recoded or non-recoded hosts.",https://www.biorxiv.org/content/early/2022/11/22/2022.11.21.517450,"Title: A tRNA Modification-based strategy for Identifying amiNo acid Overproducers (AMINO); Authors: Guo, H.; Ma, X.; Wang, N.; Ding, T.; Zheng, B.; Guo, L.; Huang, C.; Zhang, W.; Sun, L.; huo, y.; Corresponding Author: yixin huo; Author Institution: Beijing Institute of Technology; Category: synthetic biology; Abstract: Amino acids have a multi-billion-dollar market with rising demand, prompting the development of high-performance microbial factories. However, a general screening strategy applicable to all proteinogenic and non-proteinogenic amino acids is still lacking. Modification of the critical structure of tRNA could decrease the aminoacylation level of tRNA catalyzed by aminoacyl-tRNA synthetases. Involved in a two-substrate sequential reaction, amino acids with increased concentration could elevate the reduced aminoacylation rate caused by specific tRNA modification. Here, we developed a selection system for overproducers of specific amino acids using corresponding engineered tRNAs and reporter genes. As a proof-of-concept, overproducers of five amino acids such as L-tryptophan were screened out by growth-based and/or fluorescence-activated cell sorting (FACS)-based screening from random mutation libraries of Escherichia coli and Corynebacterium glutamicum, respectively. This study provided a universal strategy that could be applied to screen overproducers of proteinogenic and non-proteinogenic amino acids in amber-stop-codon-recoded or non-recoded hosts.",321
484,10.1101/2022.11.22.516435,Repurposing the mammalian RNA-binding protein Musashi-1 as an allosteric translation repressor in bacteria,"Dolcemascolo, R.; Heras-Herandez, M.; Goiriz, L.; Montagud-Martinez, R.; Requena-Menendez, A.; Marquez-Costa, R.; Ruiz, R.; Perez-Rafols, A.; Higuera-Rodriguez, R. A.; Perez-Ropero, G.; Vranken, W. F.; Martelli, T.; Kaiser, W.; Buijs, J.; Rodrigo, G.",Guillermo Rodrigo,"I2SysBio, CSIC",2 Probably Irrelevant,2022-11-22,synthetic biology,"The RNA recognition motif (RRM) is the most common RNA-binding protein domain identified in nature. However, RRM-containing proteins are only prevalent in eukaryotic phyla, in which they play central regulatory roles. Here, we engineered an orthogonal post-transcriptional control system of gene expression in the bacterium Escherichia coli with the mammalian RNA-binding protein Musashi-1, which is a stem cell marker with neurodevelopmental role that contains two canonical RRMs. In the circuit, Musashi-1 is regulated transcriptionally and works as an allosteric translation repressor thanks to a specific interaction with the leader coding region of a messenger RNA and its structural plasticity to respond to fatty acids. We fully characterized the genetic system at the population and single-cell levels showing a significant fold change in reporter expression, and the underlying molecular mechanism by assessing the in vitro binding kinetics and in vivo functionality of a series of RNA mutants. Moreover, the dynamic response of the system was well recapitulated by a bottom-up mathematical model. This work illustrates how RRM-based regulation can be adapted to simple organisms, thereby paving the way for engineering more complex circuits in prokaryotes by combining transcription and translation control with proteins.",https://www.biorxiv.org/content/early/2022/11/22/2022.11.22.516435,"Title: Repurposing the mammalian RNA-binding protein Musashi-1 as an allosteric translation repressor in bacteria; Authors: Dolcemascolo, R.; Heras-Herandez, M.; Goiriz, L.; Montagud-Martinez, R.; Requena-Menendez, A.; Marquez-Costa, R.; Ruiz, R.; Perez-Rafols, A.; Higuera-Rodriguez, R. A.; Perez-Ropero, G.; Vranken, W. F.; Martelli, T.; Kaiser, W.; Buijs, J.; Rodrigo, G.; Corresponding Author: Guillermo Rodrigo; Author Institution: I2SysBio, CSIC; Category: synthetic biology; Abstract: The RNA recognition motif (RRM) is the most common RNA-binding protein domain identified in nature. However, RRM-containing proteins are only prevalent in eukaryotic phyla, in which they play central regulatory roles. Here, we engineered an orthogonal post-transcriptional control system of gene expression in the bacterium Escherichia coli with the mammalian RNA-binding protein Musashi-1, which is a stem cell marker with neurodevelopmental role that contains two canonical RRMs. In the circuit, Musashi-1 is regulated transcriptionally and works as an allosteric translation repressor thanks to a specific interaction with the leader coding region of a messenger RNA and its structural plasticity to respond to fatty acids. We fully characterized the genetic system at the population and single-cell levels showing a significant fold change in reporter expression, and the underlying molecular mechanism by assessing the in vitro binding kinetics and in vivo functionality of a series of RNA mutants. Moreover, the dynamic response of the system was well recapitulated by a bottom-up mathematical model. This work illustrates how RRM-based regulation can be adapted to simple organisms, thereby paving the way for engineering more complex circuits in prokaryotes by combining transcription and translation control with proteins.",404
485,10.1101/2022.11.22.517491,A termination-aware vector design improves heterologous gene expression in Pseudomonas putida,"de Siqueira, G. M. V.; Guazzaroni, M.-E.",Maria-Eugenia Guazzaroni Sr.,University of Sao Paulo-FFCLRP,2 Probably Irrelevant,2022-11-22,synthetic biology,"Transcriptional terminators are key players in the flow of genetic information, but are often overlooked in circuit design. In this work, we used the Standard European Vector Architecture (SEVA) as a scaffold to investigate the effects of different terminators in the output of a reporter construct expressed in two bacterial species and found that replacing the conventional T1 and T0 transcriptional terminators of the SEVA vector format with a set of broad-host metagenomic terminators resulted in a significant improvement in the signal of a fluorescent device in Pseudomonas putida KT2440. Interestingly, this new vector design displayed the same performance as pSEVA231 in Escherichia coli DH10B. Our results support the notion that transcriptional terminators may affect the interconnected mesh of biological processes taking place in gene expression, leading to a host-dependent output that should be heeded for optimal circuit expression in different microbial hosts.",https://www.biorxiv.org/content/early/2022/11/22/2022.11.22.517491,"Title: A termination-aware vector design improves heterologous gene expression in Pseudomonas putida; Authors: de Siqueira, G. M. V.; Guazzaroni, M.-E.; Corresponding Author: Maria-Eugenia Guazzaroni Sr.; Author Institution: University of Sao Paulo-FFCLRP; Category: synthetic biology; Abstract: Transcriptional terminators are key players in the flow of genetic information, but are often overlooked in circuit design. In this work, we used the Standard European Vector Architecture (SEVA) as a scaffold to investigate the effects of different terminators in the output of a reporter construct expressed in two bacterial species and found that replacing the conventional T1 and T0 transcriptional terminators of the SEVA vector format with a set of broad-host metagenomic terminators resulted in a significant improvement in the signal of a fluorescent device in Pseudomonas putida KT2440. Interestingly, this new vector design displayed the same performance as pSEVA231 in Escherichia coli DH10B. Our results support the notion that transcriptional terminators may affect the interconnected mesh of biological processes taking place in gene expression, leading to a host-dependent output that should be heeded for optimal circuit expression in different microbial hosts.",261
487,10.1101/2022.11.22.517518,CRISPR/Cas9-based repeat depletion for the high-throughput genotyping of complex plant genomes,"Rossato, M.; Marcolungo, L.; De Antoni, L.; Lopatriello, G.; Bellucci, E.; Cortinovis, G.; Frascarelli, G.; Nanni, L.; Bitocchi, E.; Di Vittori, V.; Vincenzi, L.; Lucchini, F.; Bett, K.; Ramsay, L.; Konkin, D. J.; Delledonne, M.; Papa, R.",Massimo Delledonne,"Department of Biotechnology, University of Verona, Strada Le Grazie 15, 37134, Verona, Italy",1 Certainly Irrelevant,2022-11-22,genomics,"High-throughput genotyping facilitates the large-scale analysis of genetic diversity in population genomics and genome-wide association studies that combine the genotypic and phenotypic characterization of large collections of wild and domesticated germplasm. Genotyping by sequencing is progressively replacing traditional genotyping methods due to the lower ascertainment bias. However, genome-wide genotyping by sequencing becomes expensive in species with large genomes and a high proportion of repetitive DNA. Here we describe the use of CRISPR/Cas9 technology to deplete repetitive elements in the 3.76-Gb genome of lentil (Lens culinaris), 84% of which consists of repeats, thus concentrating the sequencing data on coding and regulatory regions (unique regions). We designed a custom set of 566,722 gRNAs, each with at least 25 recognition sites, targeting 2.9 Gbp of repeats in 500-bp insert sequencing libraries. We excluded repetitive regions overlapping annotated genes and putative regulatory elements based on ATAC-Seq data. The novel depletion method removed 40% of reads mapping to repeats, increasing those mapping to unique and functional regions by 2.6-fold. This repeat-to-unique shift in the sequencing data increased the number of genotyped bases by up to 17-fold compared to non-depleted libraries. We were also able to identify up to 18-fold more genetic variants in the unique regions and increased the genotyping accuracy by rescuing thousands of heterozygous variants that otherwise would be missed due to low coverage. The method performed similarly regardless of the multiplexing level, type of library or genotypes, including different cultivars and a closely-related species (L. orientalis). Our results confirmed that CRISPR/Cas9-driven repeat depletion focuses sequencing data on meaningful genomic regions, helping to improve high-density and genome-wide genotyping in large and repetitive genomes.",https://www.biorxiv.org/content/early/2022/11/22/2022.11.22.517518,"Title: CRISPR/Cas9-based repeat depletion for the high-throughput genotyping of complex plant genomes; Authors: Rossato, M.; Marcolungo, L.; De Antoni, L.; Lopatriello, G.; Bellucci, E.; Cortinovis, G.; Frascarelli, G.; Nanni, L.; Bitocchi, E.; Di Vittori, V.; Vincenzi, L.; Lucchini, F.; Bett, K.; Ramsay, L.; Konkin, D. J.; Delledonne, M.; Papa, R.; Corresponding Author: Massimo Delledonne; Author Institution: Department of Biotechnology, University of Verona, Strada Le Grazie 15, 37134, Verona, Italy; Category: genomics; Abstract: High-throughput genotyping facilitates the large-scale analysis of genetic diversity in population genomics and genome-wide association studies that combine the genotypic and phenotypic characterization of large collections of wild and domesticated germplasm. Genotyping by sequencing is progressively replacing traditional genotyping methods due to the lower ascertainment bias. However, genome-wide genotyping by sequencing becomes expensive in species with large genomes and a high proportion of repetitive DNA. Here we describe the use of CRISPR/Cas9 technology to deplete repetitive elements in the 3.76-Gb genome of lentil (Lens culinaris), 84% of which consists of repeats, thus concentrating the sequencing data on coding and regulatory regions (unique regions). We designed a custom set of 566,722 gRNAs, each with at least 25 recognition sites, targeting 2.9 Gbp of repeats in 500-bp insert sequencing libraries. We excluded repetitive regions overlapping annotated genes and putative regulatory elements based on ATAC-Seq data. The novel depletion method removed 40% of reads mapping to repeats, increasing those mapping to unique and functional regions by 2.6-fold. This repeat-to-unique shift in the sequencing data increased the number of genotyped bases by up to 17-fold compared to non-depleted libraries. We were also able to identify up to 18-fold more genetic variants in the unique regions and increased the genotyping accuracy by rescuing thousands of heterozygous variants that otherwise would be missed due to low coverage. The method performed similarly regardless of the multiplexing level, type of library or genotypes, including different cultivars and a closely-related species (L. orientalis). Our results confirmed that CRISPR/Cas9-driven repeat depletion focuses sequencing data on meaningful genomic regions, helping to improve high-density and genome-wide genotyping in large and repetitive genomes.",555
491,10.1101/2022.11.22.517481,A new means of energy supply driven by terahertz photons recovers related neural activity,"Tan, X.",Xiaoxuan Tan,Astronaut Center of China,4 Very Relevant,2022-12-02,biophysics,"Continuous and efficient energy capture represents a long-sought dream of mankind. The brain is a major energy consuming organ, an adult brain accounts for about 2% of the body weight but consumes about 20% of the bodys energy. However, it is still unclear how the brain achieve efficient use of energy. Here, using nerve cells as test subjects, we found that THz photons with a specific frequency can effectively restore the reduced frequency of action potentials caused by inadequate adenosine 5-triphosphate (ATP) supply, which has been demonstrated as a novel mode of energy supply, present photons emission at a particular frequency from the breaking of the ATP phosphate bond. This energy supply mechanism may play a key biophysical basis for explaining how the body efficiently obtain energy, because the quantized chemical reactions could have a high energy efficiency and ultrahigh selectivity compared with the traditional thermochemistry and photochemistry.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.22.517481,"Title: A new means of energy supply driven by terahertz photons recovers related neural activity; Authors: Tan, X.; Corresponding Author: Xiaoxuan Tan; Author Institution: Astronaut Center of China; Category: biophysics; Abstract: Continuous and efficient energy capture represents a long-sought dream of mankind. The brain is a major energy consuming organ, an adult brain accounts for about 2% of the body weight but consumes about 20% of the bodys energy. However, it is still unclear how the brain achieve efficient use of energy. Here, using nerve cells as test subjects, we found that THz photons with a specific frequency can effectively restore the reduced frequency of action potentials caused by inadequate adenosine 5-triphosphate (ATP) supply, which has been demonstrated as a novel mode of energy supply, present photons emission at a particular frequency from the breaking of the ATP phosphate bond. This energy supply mechanism may play a key biophysical basis for explaining how the body efficiently obtain energy, because the quantized chemical reactions could have a high energy efficiency and ultrahigh selectivity compared with the traditional thermochemistry and photochemistry.",236
492,10.1101/2022.11.22.517513,Influence of pump laser fluence on ultrafast structural changes in myoglobin,"Barends, T. R. M.; Bhattacharyya, S.; Gorel, A.; Schiro, G.; Bacellar, C.; Cirelli, C.; Colletier, J.-P.; Foucar, L.; Gruenbein, M. L.; Hartmann, E.; Hilpert, M.; Johnson, P.; Kloos, M.; Knopp, G.; Marekha, B.; Nass, K.; Ozerov, D.; Stricker, M.; Weik, M.; Doak, B.; Shoeman, R.; Milne, C.; Huix-Rotllant, M.; Cammarata, M.; Schlichting, I.",Ilme Schlichting,"MPI for Medical Research, Heidelberg, Germany",3 Possibly Relevant,2022-11-22,biophysics,"High-intensity femtosecond pulses from an X-ray free-electron laser enable pump probe experiments for investigating electronic and nuclear changes during light-induced reactions. On time scales ranging from femtoseconds to milliseconds and for a variety of biological systems, time-resolved serial femtosecond crystallography (TR-SFX) has provided detailed structural data for light-induced isomerization, breakage or formation of chemical bonds and electron transfer1. However, all ultra-fast TR-SFX studies to date have employed such high pump laser energies that several photons were nominally absorbed per chromophore2-14. As multiphoton absorption may force the protein response into nonphysiological pathways, it is of great concern15 whether this experimental approach16 allows valid inferences to be drawn vis-a-vis biologically relevant single-photon-induced reactions17. Here we describe ultrafast pump-probe SFX experiments on photodissociation of carboxymyoglobin, showing that different pump laser fluences yield markedly different results. In particular, the dynamics of structural changes and observed indicators of the mechanistically important coherent oscillations of the Fe-CO bond distance (predicted by recent quantum wavepacket dynamics15) are seen to depend strongly on pump laser energy. Our results confirm both the feasibility and necessity of performing TR-SFX pump probe experiments in the linear photoexcitation regime. We consider this to be a starting point for reassessing design and interpretation of ultrafast TR-SFX pump probe experiments16 such that biologically relevant insight emerges.",https://www.biorxiv.org/content/early/2022/11/22/2022.11.22.517513,"Title: Influence of pump laser fluence on ultrafast structural changes in myoglobin; Authors: Barends, T. R. M.; Bhattacharyya, S.; Gorel, A.; Schiro, G.; Bacellar, C.; Cirelli, C.; Colletier, J.-P.; Foucar, L.; Gruenbein, M. L.; Hartmann, E.; Hilpert, M.; Johnson, P.; Kloos, M.; Knopp, G.; Marekha, B.; Nass, K.; Ozerov, D.; Stricker, M.; Weik, M.; Doak, B.; Shoeman, R.; Milne, C.; Huix-Rotllant, M.; Cammarata, M.; Schlichting, I.; Corresponding Author: Ilme Schlichting; Author Institution: MPI for Medical Research, Heidelberg, Germany; Category: biophysics; Abstract: High-intensity femtosecond pulses from an X-ray free-electron laser enable pump probe experiments for investigating electronic and nuclear changes during light-induced reactions. On time scales ranging from femtoseconds to milliseconds and for a variety of biological systems, time-resolved serial femtosecond crystallography (TR-SFX) has provided detailed structural data for light-induced isomerization, breakage or formation of chemical bonds and electron transfer1. However, all ultra-fast TR-SFX studies to date have employed such high pump laser energies that several photons were nominally absorbed per chromophore2-14. As multiphoton absorption may force the protein response into nonphysiological pathways, it is of great concern15 whether this experimental approach16 allows valid inferences to be drawn vis-a-vis biologically relevant single-photon-induced reactions17. Here we describe ultrafast pump-probe SFX experiments on photodissociation of carboxymyoglobin, showing that different pump laser fluences yield markedly different results. In particular, the dynamics of structural changes and observed indicators of the mechanistically important coherent oscillations of the Fe-CO bond distance (predicted by recent quantum wavepacket dynamics15) are seen to depend strongly on pump laser energy. Our results confirm both the feasibility and necessity of performing TR-SFX pump probe experiments in the linear photoexcitation regime. We consider this to be a starting point for reassessing design and interpretation of ultrafast TR-SFX pump probe experiments16 such that biologically relevant insight emerges.",506
493,10.1101/2022.11.21.517201,Antibody binding reports spatial heterogeneities in cell membrane organization,"Arnold, D.; Xu, Y.; Takatori, S. C.",Sho C Takatori,"University of California, Santa Barbara",3 Possibly Relevant,2022-11-22,biophysics,"The mammalian plasma membrane regulates cellular interactions with the extracellular environment through a dense assembly of membrane glycoproteins and glycolipids. Although the spatial organization of the cell surface glycocalyx is critical for mediating the binding of ligands, receptors, and macromolecules on the plasma membrane, we currently do not have the methods to quantify the spatial hetero-geneities on live cell surfaces. In this work, we engineer molecular antigen sensors that act as a direct reporter of live cell surface crowding heterogeneities with nanometer spatial resolution. By quantifying the effective binding affinity of IgG monoclonal antibodies to our antigen sensors on reconstituted and live cells, we provide a biophysical understanding of the molecular-to-mesoscale spatial organization of the glycocalyx. We find that the antigen location strongly influences the IgG binding on the red blood cell membrane, with the strongest gradients occurring within a few nanometers of the membrane. We develop an analytical theory and coarse-grained molecular dynamics simulations to corroborate our results, and combine surface proteomics with our simulations and theory for an in-silico reconstruction of the red blood cell surface. We also show that the effective binding affinity above raft-like domains is much higher than that of the bulk membrane on human cancer cells, suggesting that raft-like domains exclude membrane proteins with bulky extracellular domains. Our facile and high-throughput method to quantify spatial crowding heterogeneities on live cell membranes may facilitate monoclonal antibody design and provide a mechanistic understanding of plasma membrane biophysical organization.

Significance StatementThe mammalian cell surface is decorated with a protective ""shield"" of membrane proteins and sugars that enables cells to mediate interactions with the extracellular environment. The precise spatial distribution of the proteins and sugars are critical for cell function, but we currently do not have the techniques to quantify the spatial heterogeneities on the cell membrane surface. In this work, we develop a method to quantify the spatial organization of the cell surface by engineering molecular antigen sensors that act as a direct reporter of local macro-molecular crowding.",https://www.biorxiv.org/content/early/2022/11/22/2022.11.21.517201,"Title: Antibody binding reports spatial heterogeneities in cell membrane organization; Authors: Arnold, D.; Xu, Y.; Takatori, S. C.; Corresponding Author: Sho C Takatori; Author Institution: University of California, Santa Barbara; Category: biophysics; Abstract: The mammalian plasma membrane regulates cellular interactions with the extracellular environment through a dense assembly of membrane glycoproteins and glycolipids. Although the spatial organization of the cell surface glycocalyx is critical for mediating the binding of ligands, receptors, and macromolecules on the plasma membrane, we currently do not have the methods to quantify the spatial hetero-geneities on live cell surfaces. In this work, we engineer molecular antigen sensors that act as a direct reporter of live cell surface crowding heterogeneities with nanometer spatial resolution. By quantifying the effective binding affinity of IgG monoclonal antibodies to our antigen sensors on reconstituted and live cells, we provide a biophysical understanding of the molecular-to-mesoscale spatial organization of the glycocalyx. We find that the antigen location strongly influences the IgG binding on the red blood cell membrane, with the strongest gradients occurring within a few nanometers of the membrane. We develop an analytical theory and coarse-grained molecular dynamics simulations to corroborate our results, and combine surface proteomics with our simulations and theory for an in-silico reconstruction of the red blood cell surface. We also show that the effective binding affinity above raft-like domains is much higher than that of the bulk membrane on human cancer cells, suggesting that raft-like domains exclude membrane proteins with bulky extracellular domains. Our facile and high-throughput method to quantify spatial crowding heterogeneities on live cell membranes may facilitate monoclonal antibody design and provide a mechanistic understanding of plasma membrane biophysical organization.

Significance StatementThe mammalian cell surface is decorated with a protective ""shield"" of membrane proteins and sugars that enables cells to mediate interactions with the extracellular environment. The precise spatial distribution of the proteins and sugars are critical for cell function, but we currently do not have the techniques to quantify the spatial heterogeneities on the cell membrane surface. In this work, we develop a method to quantify the spatial organization of the cell surface by engineering molecular antigen sensors that act as a direct reporter of local macro-molecular crowding.",481
